year,category,count
2022,nucl-ex,503
2022,nucl-th,1135
2022,physics.acc-ph,445
2022,physics.ao-ph,320
2022,physics.app-ph,888
2022,physics.atm-clus,58
2022,physics.atom-ph,620
2022,physics.bio-ph,355
2022,physics.chem-ph,1089
2022,physics.class-ph,241
2022,physics.comp-ph,512
2022,physics.data-an,152
2022,physics.ed-ph,191
2022,physics.flu-dyn,1862
2022,physics.gen-ph,295
2022,physics.geo-ph,329
2022,physics.hist-ph,181
2022,physics.ins-det,1114
2022,physics.med-ph,487
2022,physics.optics,2470
2022,physics.plasm-ph,802
2022,physics.pop-ph,77
2022,physics.soc-ph,885
2022,physics.space-ph,169
2022,q-alg,1
2022,q-bio.BM,178
2022,q-bio.CB,45
2022,q-bio.GN,107
2022,q-bio.MN,88
2022,q-bio.NC,519
2022,q-bio.OT,51
2022,q-bio.PE,453
2022,q-bio.QM,437
2022,q-bio.SC,11
2022,q-bio.TO,69
2022,q-fin.CP,123
2022,q-fin.GN,85
2022,q-fin.MF,145
2022,q-fin.PM,93
2022,q-fin.PR,51
2022,q-fin.RM,113
2022,q-fin.ST,158
2022,q-fin.TR,83
2022,quant-ph,7686
2022,stat.AP,807
2022,stat.CO,312
2022,stat.ME,2279
2022,stat.ML,1642
2022,stat.OT,53
2023,astro-ph,5
2023,astro-ph.CO,2363
2023,astro-ph.EP,1995
2023,astro-ph.GA,4097
2023,astro-ph.HE,3475
2023,astro-ph.IM,1452
2023,astro-ph.SR,2513
2023,cond-mat.dis-nn,528
2023,cond-mat.mes-hall,3559
2023,cond-mat.mtrl-sci,4662
2023,cond-mat.other,97
2023,cond-mat.quant-gas,888
2023,cond-mat.soft,1778
2023,cond-mat.stat-mech,1788
2023,cond-mat.str-el,2649
2023,cond-mat.supr-con,1491
2023,cs.AI,3373
2023,cs.AR,541
2023,cs.CC,423
2023,cs.CE,501
2023,cs.CG,364
2023,cs.CL,10285
2023,cs.CR,3385
2023,cs.CV,19282
2023,cs.CY,1476
2023,cs.DB,630
2023,cs.DC,1434
2023,cs.DL,299
2023,cs.DM,309
2023,cs.DS,1580
2023,cs.ET,243
2023,cs.FL,296
2023,cs.GL,8
2023,cs.GR,413
2023,cs.GT,998
2023,cs.HC,2166
2023,cs.IR,1702
2023,cs.IT,2726
2023,cs.LG,17584
2023,cs.LO,1017
2023,cs.MA,404
2023,cs.MM,239
2023,cs.MS,70
2023,cs.NA,3
2023,cs.NE,790
2023,cs.NI,1422
2023,cs.OH,63
2023,cs.OS,51
2023,cs.PF,90
2023,cs.PL,472
2023,cs.RO,5223
2023,cs.SC,103
2023,cs.SD,1309
2023,cs.SE,2058
2023,cs.SI,1011
2023,cs.SY,2
2023,econ.EM,595
2023,econ.GN,754
2023,econ.TH,447
2023,eess.AS,1284
2023,eess.IV,2892
2023,eess.SP,2645
2023,eess.SY,3207
2023,gr-qc,4180
2023,hep-ex,1096
2023,hep-lat,553
2023,hep-ph,5528
2023,hep-th,4296
2023,math-ph,1491
2023,math.AC,683
2023,math.AG,2859
2023,math.AP,4697
2023,math.AT,814
2023,math.CA,940
2023,math.CO,4431
2023,math.CT,481
2023,math.CV,732
2023,math.DG,2136
2023,math.DS,1948
2023,math.FA,1484
2023,math.GM,374
2023,math.GN,268
2023,math.GR,1230
2023,math.GT,1206
2023,math.HO,261
2023,math.KT,133
2023,math.LO,915
2023,math.MG,464
2023,math.NA,3518
2023,math.NT,2922
2023,math.OA,499
2023,math.OC,4067
2023,math.PR,3192
2023,math.QA,463
2023,math.RA,804
2023,math.RT,1204
2023,math.SG,362
2023,math.SP,317
2023,math.ST,1257
2023,nlin.AO,177
2023,nlin.CD,144
2023,nlin.CG,23
2023,nlin.PS,185
2023,nlin.SI,229
2023,nucl-ex,509
2023,nucl-th,1196
2023,physics.acc-ph,356
2023,physics.ao-ph,394
2023,physics.app-ph,1082
2023,physics.atm-clus,34
2023,physics.atom-ph,702
2023,physics.bio-ph,393
2023,physics.chem-ph,1149
2023,physics.class-ph,251
2023,physics.comp-ph,564
2023,physics.data-an,146
2023,physics.ed-ph,262
2023,physics.flu-dyn,2352
2023,physics.gen-ph,309
2023,physics.geo-ph,416
2023,physics.hist-ph,225
2023,physics.ins-det,914
2023,physics.med-ph,583
2023,physics.optics,2648
2023,physics.plasm-ph,927
2023,physics.pop-ph,63
2023,physics.soc-ph,1019
2023,physics.space-ph,156
2023,q-alg,1
2023,q-bio.BM,310
2023,q-bio.CB,39
2023,q-bio.GN,139
2023,q-bio.MN,132
2023,q-bio.NC,628
2023,q-bio.OT,80
2023,q-bio.PE,512
2023,q-bio.QM,501
2023,q-bio.SC,21
2023,q-bio.TO,101
2023,q-fin.CP,129
2023,q-fin.EC,2
2023,q-fin.GN,92
2023,q-fin.MF,200
2023,q-fin.PM,149
2023,q-fin.PR,74
2023,q-fin.RM,113
2023,q-fin.ST,196
2023,q-fin.TR,109
2023,quant-ph,9622
2023,stat.AP,911
2023,stat.CO,311
2023,stat.ME,2956
2023,stat.ML,1955
2023,stat.OT,65
2024,astro-ph,1
2024,astro-ph.CO,1522
2024,astro-ph.EP,981
2024,astro-ph.GA,2199
2024,astro-ph.HE,1763
2024,astro-ph.IM,602
2024,astro-ph.SR,1248
2024,chao-dyn,1
2024,cond-mat.dis-nn,277
2024,cond-mat.mes-hall,1834
2024,cond-mat.mtrl-sci,2372
2024,cond-mat.other,45
2024,cond-mat.quant-gas,507
2024,cond-mat.soft,1047
2024,cond-mat.stat-mech,1051
2024,cond-mat.str-el,1432
2024,cond-mat.supr-con,730
2024,cs.AI,2197
2024,cs.AR,335
2024,cs.CC,266
2024,cs.CE,361
2024,cs.CG,218
2024,cs.CL,7616
2024,cs.CR,2176
2024,cs.CV,12064
2024,cs.CY,861
2024,cs.DB,329
2024,cs.DC,812
2024,cs.DL,153
2024,cs.DM,194
2024,cs.DS,888
2024,cs.ET,167
2024,cs.FL,150
2024,cs.GL,4
2024,cs.GR,210
2024,cs.GT,636
2024,cs.HC,1698
2024,cs.IR,1104
2024,cs.IT,1675
2024,cs.LG,11138
2024,cs.LO,613
2024,cs.MA,240
2024,cs.MM,142
2024,cs.MS,48
2024,cs.NA,2
2024,cs.NE,525
2024,cs.NI,829
2024,cs.OH,26
2024,cs.OS,18
2024,cs.PF,53
2024,cs.PL,260
2024,cs.RO,3401
2024,cs.SC,68
2024,cs.SD,596
2024,cs.SE,1467
2024,cs.SI,568
2024,cs.SY,34
2024,econ.EM,429
2024,econ.GN,453
2024,econ.TH,307
2024,eess.AS,494
2024,eess.IV,1583
2024,eess.SP,1605
2024,eess.SY,1832
2024,gr-qc,2480
2024,hep-ex,675
2024,hep-lat,343
2024,hep-ph,3197
2024,hep-th,2522
2024,math-ph,805
2024,math.AC,409
2024,math.AG,1666
2024,math.AP,2689
2024,math.AT,413
2024,math.CA,503
2024,math.CO,2520
2024,math.CT,270
2024,math.CV,406
2024,math.DG,1164
2024,math.DS,1101
2024,math.FA,886
2024,math.GM,197
2024,math.GN,127
2024,math.GR,693
2024,math.GT,641
2024,math.HO,116
2024,math.KT,84
2024,math.LO,529
2024,math.MG,222
2024,math.NA,2082
2024,math.NT,1625
2024,math.OA,307
2024,math.OC,2597
2024,math.PR,1689
2024,math.QA,234
2024,math.RA,448
2024,math.RT,713
2024,math.SG,248
2024,math.SP,136
2024,math.ST,787
2024,nlin.AO,112
2024,nlin.CD,62
2024,nlin.CG,15
2024,nlin.PS,115
2024,nlin.SI,139
2024,nucl-ex,225
2024,nucl-th,695
2024,physics.acc-ph,185
2024,physics.ao-ph,236
2024,physics.app-ph,608
2024,physics.atm-clus,21
2024,physics.atom-ph,324
2024,physics.bio-ph,234
2024,physics.chem-ph,709
