author,models,datasets,spaces
majed316,7959100663,0,0
Anirbanbhk,438459842,0,0
AhBotNLP,657354864,1106834114,0
youscan,1013938569,0,0
chcaa,14639065066,0,0
Luciano,79080872419,1136569360,0
Crossper6,0,0,4265414539
shinhirota,10259543951,0,0
seungwon12,2610615323,253771,0
siberspace,1354818,32732021,0
LinhVuu,0,0,10039885
dber123,842555090,0,0
1Pampu,17571339578,0,0
SumitMdhr,7539192794,12740385805,1747
Thanhdotr,0,0,1841
jjaq,7660460516,0,0
ArpitM,0,0,20373
hunggggg,45666671,24318305,0
ohsuz,43821329612,601548,0
tomasg25,559042600835,891303,0
riddhi17pawar,976597679,0,0
chungkaley,74297637,0,0
FKBaffour,1798647071,0,417726109
yanli01,0,0,10167604
anon8231489123,33652385776,4378913144,0
jamesspanx,7615892601,0,0
aka7774,420393423083,2785479489,380442686
salashvijay,0,0,7610
Sfischer,8585707492,0,0
nampdn-ai,0,8621032892,0
cjber,873450557,0,0
Jimmyfreelancer,1477,0,7063399
tpremoli,0,1596866819,0
danilo7777,0,26274859,0
waleabiodun,584446,2265,0
gabrielanicole,0,0,66433
webpodcast,0,0,19754122
AlekHesa,0,995464,0
SURYAJAI,11936749907,0,0
Mike0307,1849950235,474910657,0
tayyabali1,1505,0,10741
ns2001,0,0,8072
otioss,0,0,9143474969
Tekknoman,0,0,4978
hyeonho-jeong-video,4274967294,0,0
salonimapari24,10047929540,0,0
i8pxgd2s,585134448,0,103200751
Tiamz,3240341704,0,0
ahmedtremo,13525634606,1411025,0
dg845,33966710711,0,0
adpro,0,0,2228909643
Spidartist,3119,0,141837840
junbro1016,1513314637,0,0
Yulong-W,54660113386,61045,0
pranked03,2597270497,324625313,34093
PhilipTheGreat,513018017,0,0
ben-yu,7825951073,850554663,0
symanto,3568376510,74290714,0
oghali,0,2291,0
armhebb,900448821,0,0
Ayphoss,0,163308331,0
holistic-ai,0,141671,3918
KAlex13,4501343138,0,0
augustoortiz,432041409,1398262,0
rodekruis,1317374220,0,0
nsarrazin,41111107495,0,517986
RachitD15673,29085505564,168514,0
Lianjd,0,0,2122597
josephnashat,0,821511,0
unc-nlp,3719386536,0,0
2CHA,0,602131,0
20Tech24,10047969355,0,0
krasaee,0,6291165,0
sshaileshk,0,0,10898839
benjaminperkins,0,0,5500
judejude,883112755,0,0
kuldin,15955376,68664502,0
minnbanya,0,3402452,0
afbudiman,1303116675,0,0
zarakiquemparte,517636715317,0,0
piamo,3058,8826172,103112710
gurgenblbulyan,0,0,4384
devduttabain,0,0,1860
fasterinnerlooper,878315354,531856578,3498
tdklab,875847473,460424,0
yam-peleg,259686824081,0,0
abacusai,1326604551273,2484619158,0
dadinghh2,0,14691472812,0
koliskos,561163978,116375249,0
BlueAvenir,46510761079,0,0
LangChainDatasets,0,215797,0
mumiao,0,0,2975
bioinfoark,0,0,25193866
Anastasia1812,0,4504,0
minhpqn,1001359195,0,0
williamcfrancis,0,0,97832088
alvwjy,107891443870,6070088603,0
malduwais,10619341687,0,0
bs-la,434377063720,25884424388,0
MBZ,0,0,82475
chatplus,0,0,4032
Aoschu,0,38745366,0
minseok99,0,2307,0
nealcly,1787580868,0,0
philippelaban,4122390017,0,0
decept1on,14177709137,0,0
KJMAN678,0,0,11818310
DavidLanz,85073842210,20503926155,0
sasha-ustala,0,0,0
AnikaBasu,139139426,13461452,1770
markscrivo,0,2765,5647
jeongah,0,928035,0
Sandro-Halpo,16146430707,0,0
AniketArtani,1540,3523447,1794
Adam111,1502,0,34788
harshith7,19605299098,0,0
Alvenir,2952552640,14974182,0
bradarrML,0,0,104190557
pavanmantha,0,111498595,1770
Opit,332170289,2999180756,0
Arvi,30483,0,150955
yrvelez,108179680595,0,25624076304
jlohding,0,964437377,0
shamikbose89,4828368074,2065736,5477
danaleee,2374231693,0,0
flaviagiammarino,2570148831,819928126,0
rkreddyp,0,313106649,0
noahjadallah,871490742,0,0
vansh11,0,22608335,3598
4lchemistX,75749489584,1530265,0
Hvijapuram22,9801821435,0,0
wangqixun,6941191571,0,0
smcnsicu,0,0,7492
feilongfl,18644418950,15389271,0
yoyololicon,0,0,973413664
danasone,43208923847,205387990268,0
zss2341,3021,0,168097
sekarmulyani,5202138040,11809882,0
lanwuwei,3786189405,0,0
serhii-korobchenko,9266360119,32680523,5919457
darylfunggg,0,0,184318073
Msninmx,0,0,57674645
binly,0,0,12507
martn-nguyen,220882972,112160989,0
tacit3233,904032734,0,0
rkstgr,0,117525928780,0
Check,2611159796,57074518054,0
diptisanap,2681715787,0,0
Husain,6384823165,690,0
adt,0,0,29933
ishtikar,20095945226,0,0
unalignment,43457455525,398143104,0
ussrcccp,0,0,64039301
FredZhang7,24941890181,2500678687,73045
shezanbaig,0,0,3686
ruanchaves,25372805150,179723704,44708
Inderdev07,4577,0,659531
DataNerd2021,0,505226691,12900
Samlund56,0,0,3619
postbot,25212757335,30632353,15875
veroman,1779135963,0,0
etechgrid,0,171381715,0
Jiwonny29,0,34738,0
Rurrr,0,0,1909
