,player_id,Player,pos,GP,TOI,TOI_pp,Goals,Assists,First_Assists,Total_Points,Total_Points_pp,Shots,ixG,iCF,iSCF,iHDCF,Hits,Shots_Blocked,SF,CF,GF,xGF,Def_Zone_Starts,Off_Zone_Starts,oiSH,SCF,GA,G-ixG,OZ Start%,GF%
521,8479314,Matthew Tkachuk,F,79,1614.4333333333332,350.13333333333327,40,69,39,109,36.0,323,45.73999999999999,537,359,201,68,31,1353,2434,157,158.78000000000003,185,398,0.11603843311160385,1377,87,-5.739999999999988,0.6826758147512865,0.6434426229508197
522,8479315,Joey Anderson,F,38,444.50000000000017,6.900000000000043,6,3,3,9,0.0,41,4.360000000000001,90,43,21,36,17,188,387,15,16.83,81,53,0.0797872340425532,193,29,1.6399999999999988,0.39552238805970147,0.3409090909090909
523,8479316,Luke Kunin,F,31,478.3833333333327,44.2499999999999,5,8,5,13,4.0,58,6.91,99,67,33,63,27,219,387,21,21.0,85,74,0.0958904109589041,212,32,-1.9100000000000001,0.46540880503144655,0.39622641509433965
524,8479318,Auston Matthews,F,74,1500.6000000000013,268.29999999999905,40,45,29,85,28.0,327,39.070000000000014,568,393,167,78,92,1020,1880,137,128.62999999999997,85,356,0.13431372549019607,1170,56,0.9299999999999855,0.8072562358276644,0.7098445595854922
525,8479320,Maxime Lajoie,D,3,23.5666666666666,0.15,0,0,0,0,0.0,2,0.06,7,3,0,2,0,9,19,0,0.7000000000000001,1,4,0.0,8,0,-0.06,0.8,
526,8479321,Lucas Johansen,D,2,25.316666666666,0.0,0,0,0,0,0.0,3,0.12,5,1,0,0,3,8,17,0,0.56,5,5,0.0,6,0,-0.12,0.5,
527,8479322,Wade Allison,F,60,773.683333333335,16.49999999999996,9,6,2,15,0.0,89,12.159999999999998,157,99,63,190,62,412,708,24,35.239999999999995,115,106,0.05825242718446602,318,27,-3.1599999999999984,0.4796380090497738,0.47058823529411764
528,8479323,Adam Fox,D,82,1998.966666666667,293.6833333333333,12,60,28,72,29.0,159,12.059999999999999,331,154,35,25,125,1221,2285,137,141.00999999999993,317,325,0.1122031122031122,1303,81,-0.05999999999999872,0.5062305295950156,0.6284403669724771
529,8479324,Ryan Lindgren,D,63,1186.9166666666656,2.81666666666667,1,17,10,18,0.0,75,3.4999999999999987,159,54,13,68,92,568,1049,59,56.53999999999998,263,141,0.10387323943661972,561,47,-2.4999999999999987,0.349009900990099,0.5566037735849056
530,8479325,Charlie McAvoy,D,67,1494.3000000000002,180.86666666666667,7,45,20,52,19.0,105,6.969999999999998,225,88,20,84,131,876,1589,95,89.90000000000003,268,328,0.10844748858447488,886,53,0.030000000000002025,0.5503355704697986,0.6418918918918919
